Reviews,category,Label,Length,Word Count
চকলেট নিয়ে খুব হতাশ। এক্সপায়ার ডেট শেষ আর অতিরিক্ত চার্জ নিয়েছে,Random/Misc,1,66,11
পঁচিশটা অর্ডার করেছিলাম পেয়েছি পঞ্চাশটা সাথে একটি কে এন 95 মাস্ক ছিল মাস্ক এর কোয়ালিটি অতটা ভাল ছিল না একটু পাতলা টাইপের। গিফট যখন নাম করে দেবেন একটু কোয়ালিটিফুল দেওয়ার ট্রাই করবেন।,medical_kits,4,183,32
"সুন্দর প্যাকেজিং করে দিয়েছে! ১০০% অরিজিনাল প্রোডাক্ট, চুলের গোড়া শক্ত হয়েছে। হানড্রেড পারসেন্ট রেকমেন্ডেড 💝",womens_item,5,110,15
আমি কেন অনলাইনে প্রডাক্ট ক্রয় করলাম ভাই? গ্লোব ফার্মা থেকে ধরা খেয়ে গেলাম। বাটপারির খপ্পরে পড়লাম মনে হচ্ছে।,medicines,2,107,18
"ডেলিভারি একটু দেরি হলেও মাল ভালো। শ্যাম্পু প্রোডাক্ট মোটামুটি ভালো, তবে কিছু মাইনর ইস্যু আছে",womens_item,4,92,15
কনডম কিনে খুব অনুতপ্ত। ব্র্যান্ড লোগো ভুয়া 😤😤 ডিসকাউন্ট দেখিয়ে বেশি নিয়েছে এভাবে প্রতারণা করা ঠিক না,adult_items,1,103,17
তেল গুলো একদম শুকনো।  তেল দেওয়া ছাড়া করা যাই না।  করলে ছিঁড়ে যায়। আরেকটু তেল দেবেন। নাহয় পার্টনার কষ্ট পায়। এমনি কন্ডোমের কোয়ালিটি মন্দ না।,adult_items,3,139,25
এখনো বুঝতে পারছি না কিরকম কাজ করছে। মোট ৮ দিন হয়েছে ওষুধটা খাচ্ছি।  ঘাড়ের ব্যাথা এখনো আছে।,medicines,3,90,17
"প্যাকিং ভালো ছিলনা, প্যাকেটের ভিতরে জেল দেয়া ছিল এবং একটা জেল ফাটা ছিল।",adult_items,2,71,13
ক্রিম টা ভালো লাগলো না। পুরাতন মনে হয়,womens_item,2,38,8
